concurrency,worker_id,run_idx,ttft_s,e2e_s,prompt_tokens,output_tokens,decode_tps,error
1,0,1,0.21503479173406959,3.640430042054504,31,119,34.731601335503036,
1,0,2,0.11076387483626604,3.6538609168492258,31,124,34.98660686590293,
1,0,3,0.10997333284467459,3.595007208175957,31,121,34.702290910451886,
1,0,4,0.10540583310648799,3.359938166104257,31,115,35.317574922747205,
1,0,5,0.11488087521865964,3.7395953331142664,31,126,34.74324580182395,
1,0,6,0.10990479122847319,3.0110739581286907,31,103,35.48854053612372,
1,0,7,0.11089041689410806,3.6717019169591367,31,125,35.08919345805398,
1,0,8,0.10924362484365702,3.7356987497769296,31,126,34.728466800205894,
1,0,9,0.11033650022000074,3.4630610831081867,31,116,34.58390291493482,
1,0,10,0.11226683296263218,3.6007531662471592,31,122,34.96370306359048,
2,0,1,0.18328570807352662,3.537735667079687,31,118,35.161869313223576,
2,1,1,3.568748665973544,7.27250004094094,31,130,35.08891378927171,
2,0,2,3.7098324159160256,7.352992291096598,31,127,34.85081456265534,
2,1,2,3.652453917078674,7.121982792392373,31,122,35.15428107323564,
2,0,3,3.476501749828458,7.185676166787744,31,130,35.03786284983695,
2,1,3,3.715989749878645,7.071132209151983,31,118,35.15139745012097,
2,0,4,3.362292665988207,7.408707832917571,31,138,34.09621451410995,
2,1,4,4.05304512521252,7.598287125118077,31,125,35.25029033238927,
2,0,5,3.552514917217195,6.268754584249109,31,96,35.317848449548755,
2,1,5,2.723237625323236,5.757591917179525,31,107,35.250826380428215,
2,0,6,3.044329332653433,6.035283624660224,31,106,35.429095225302724,
2,1,6,3.0012806663289666,6.983303916174918,31,140,35.15039646351861,
2,0,7,3.9890317087993026,7.763032583985478,31,133,35.23365321373677,
2,1,7,3.7818731660954654,7.2725727912038565,31,123,35.221927855039716,
2,0,8,3.4985509999096394,7.152369082905352,31,129,35.292152274895116,
2,1,8,3.6624792497605085,7.284484958741814,31,128,35.3257700077796,
2,0,9,3.631883541122079,6.36197108309716,31,97,35.51756057637219,
2,1,9,2.7403833330608904,5.877226917073131,31,111,35.37349337045746,
2,0,10,3.1428487091325223,6.612373583950102,31,123,35.44199390030318,
2,1,10,3.474874333012849,7.414209041744471,31,139,35.2750943932405,
4,2,1,0.19211870897561312,3.7440431667491794,31,125,35.17440178081659,
4,3,1,3.7761333752423525,7.362696832977235,31,126,35.125569030733615,
4,0,1,7.3921627080999315,10.581364625133574,31,112,35.10159397303526,
4,1,1,10.611718624830246,14.06555683305487,31,122,35.31305415145908,
4,2,2,10.298724541906267,13.519288166891783,31,114,35.39002910721551,
4,3,2,9.934072125237435,13.357924250420183,31,121,35.33766096027488,
4,0,2,10.16486179176718,13.74991708388552,31,127,35.40966608564712,
4,1,2,10.29877766687423,14.086947292089462,31,134,35.364574728365845,
4,2,3,10.864878916181624,14.911369665991515,31,143,35.33200799182842,
4,3,3,11.488508500158787,15.00515504181385,31,124,35.24496195339612,
4,0,3,11.420846665743738,14.675703915767372,31,115,35.3165088556146,
4,1,3,10.889790958259255,15.46266341721639,31,161,35.19794828754603,
4,2,4,11.415098667144775,14.453855500090867,31,104,34.21200948517831,
4,3,4,10.937489375006407,14.519971499685198,31,126,35.16088465391896,
4,0,4,11.264046290889382,14.908874166198075,31,129,35.381024197156776,
4,1,4,10.332774207927287,13.389090499840677,31,108,35.32690904224538,
4,2,5,10.350912834051996,13.837883417028934,31,123,35.26048275855661,
4,3,5,10.258677582722157,13.767046332824975,31,124,35.332256122368925,
4,0,5,10.122168208938092,12.690140875056386,31,91,35.42877274320088,
4,1,5,9.632480000145733,12.68403095798567,31,108,35.37948752957107,
4,2,6,9.194791875313967,13.079606582876295,31,137,35.25638431479171,
4,3,6,9.571845500264317,13.2500413749367,31,130,35.334155155589634,
4,0,6,10.682509874925017,14.358175083994865,31,128,34.81582050968336,
4,1,6,11.307959292083979,14.751110000070184,31,122,35.42431181751285,
4,2,7,10.864814625121653,14.283339000307024,31,121,35.38676879210153,
4,3,7,10.607811542227864,13.30876712501049,31,96,35.52400443736112,
4,0,7,9.631436415947974,13.507852124981582,31,137,35.330271251675086,
4,1,7,10.062403041869402,13.834476416930556,31,110,29.18616534010743,
4,2,8,10.42809504084289,14.66571137495339,31,141,33.25289193066618,
4,3,8,11.96147008286789,15.733768791891634,31,130,34.44747090561175,
4,0,8,11.862234875094146,15.503413958009332,31,127,34.867272947063334,
4,1,8,11.73711304180324,15.591059708036482,31,133,34.50775706162816,
4,2,9,11.347520125098526,14.395989292301238,31,107,35.04766502915732,
4,3,9,10.616926209069788,14.330771708860993,31,131,35.26155533765673,
4,0,9,10.689591540955007,14.645692999940366,31,139,35.135002399563945,
4,1,9,10.789076291956007,13.873859083745629,31,109,35.319999120745884,
4,2,10,10.823814624920487,14.634939291980118,31,134,35.14963074785655,
4,3,10,10.923044083174318,14.26705791708082,31,118,35.27485583840527,
4,0,10,10.306758167222142,14.286473708227277,31,140,35.16769090942028,
4,1,10,11.206148374825716,14.932967582717538,31,131,35.13411150457237,
8,4,1,0.25088854087516665,4.0392087497748435,31,133,35.09599639803403,
8,7,1,4.074220750015229,7.988661041948944,31,138,35.23937419852943,
8,3,1,8.017164374701679,11.735096292104572,31,131,35.22688601991448,
8,2,1,11.762558749876916,15.150060582906008,31,119,35.11752967506952,
8,0,1,15.185082250274718,18.550995000172406,31,119,35.34225946130306,
8,5,1,18.580192041117698,22.03041666606441,31,122,35.34636474146483,
8,6,1,22.058985666371882,25.924696000292897,31,136,35.17319988379913,
8,1,1,25.957862458191812,29.23768216604367,31,116,35.36078446368845,
8,4,2,25.170415624976158,28.948288541752845,31,133,35.198152091298816,
8,7,2,25.035811875015497,28.687196125276387,31,129,35.3179141522226,
8,3,2,24.966469292063266,28.97292395774275,31,135,33.68944427670775,
8,2,2,25.588444417342544,28.676324292086065,31,109,35.2767125054761,
8,0,2,25.308158500120044,28.627139791380614,31,117,35.23527172463098,
8,5,2,25.179185249842703,29.293317792005837,31,144,34.990809650480756,
8,6,2,25.42794687533751,29.279314833227545,31,136,35.303083133763835,
8,1,2,26.000263791996986,29.536709583364427,31,124,35.05730415057297,
8,4,3,25.75899741705507,29.500859417021275,31,132,35.260658911525496,
8,7,3,25.849181833211333,29.076247041113675,31,114,35.30776661303009,
8,3,3,25.07080562505871,28.817499708384275,31,132,35.223475272153046,
8,2,3,25.728430166840553,29.085360041819513,31,118,35.13833840996711,
8,0,3,25.767171958927065,29.08296912489459,31,117,35.27334202102683,
8,5,3,24.968928709160537,28.337984959129244,31,119,35.31215382099073,
8,6,3,24.48877420788631,28.06402620812878,31,126,35.2310130998419,
8,1,3,24.523644082713872,27.670453124679625,31,111,35.26337105972485,
8,4,4,23.928192999679595,27.498778416775167,31,126,35.27304809703112,
8,7,4,24.276149000041187,27.632024459075183,31,118,35.14951358548181,
8,3,4,23.883937708567828,27.370713833719492,31,123,35.261937966725704,
8,2,4,24.011019084136933,27.818916625343263,31,134,35.1787150921807,
8,0,4,24.505549208261073,28.32967362506315,31,131,34.249253207517796,
8,5,4,24.963338958099484,28.5911532077007,31,127,34.99857461690969,
8,6,4,25.013154417276382,28.713065375108272,31,128,34.58339199642519,
8,1,4,25.56651254184544,29.26187629206106,31,130,35.17227554665516,
8,4,5,25.6895145829767,30.186019124928862,31,133,29.571462538112517,
8,7,5,26.843061999883503,30.71990095777437,31,135,34.74207850854059,
8,3,5,27.233685542363673,31.001244875136763,31,132,35.02442178902457,
8,2,5,27.19135708315298,30.90096529107541,31,130,35.038941403502314,
8,0,5,27.078205208294094,30.672778707928956,31,126,35.04332433443385,
8,5,5,27.043235207907856,31.233540874905884,31,147,35.066632161673134,
8,6,5,27.533219125121832,30.970651500392705,31,121,35.19047596768627,
8,1,5,27.27068975009024,31.259169333148748,31,140,35.09259437200994,
8,4,6,26.770371166989207,30.1184216667898,31,118,35.228783265847404,
8,7,6,26.228087124880403,28.91073333285749,31,95,35.39912756107625,
8,3,6,25.143507542088628,28.629693625029176,31,123,35.27207513038032,
8,2,6,24.918421084061265,28.232034292072058,31,116,34.99551292812731,
8,0,6,24.64077691687271,27.55309270787984,31,103,35.35245171612341,
8,5,6,23.359100667294115,26.79537216713652,31,121,35.201903882810846,
8,6,6,23.35782412486151,27.076203334145248,31,131,35.2218724812471,
8,1,6,23.090957541950047,26.59523483319208,31,120,34.254222010984805,
8,4,7,23.24774779099971,26.62461583316326,31,119,35.216094761480136,
8,7,7,23.939411541912705,27.373455250170082,31,121,35.22480381587726,
8,3,7,23.887269416823983,27.694499500095844,31,134,35.18775462021724,
8,2,7,24.383328665979207,28.103514041285962,31,131,35.205011193304315,
8,0,7,25.186666250228882,29.262317291926593,31,141,34.63367889547415,
8,5,7,25.82582224998623,30.588803958147764,31,150,31.476393137946943,
8,6,7,26.88181637506932,30.74182887468487,31,126,32.57256502334743,
8,1,7,27.237812249921262,31.35356575017795,31,133,32.31094760034338,
8,4,8,27.99474574998021,31.224733917042613,31,115,35.48031351942712,
8,7,8,27.790177500341088,32.45698537491262,31,154,33.007477372463335,
8,3,8,28.650075792334974,32.58424950018525,31,135,34.285795552845684,
8,2,8,28.863348125014454,31.685551250353456,31,98,34.71378330691204,
8,0,8,27.60708050010726,31.398714292328805,31,132,34.809067099657845,
8,5,8,26.643321957904845,30.71513466676697,31,141,34.61930903702642,
8,6,8,26.843777374830097,30.048869958613068,31,102,31.817324060557294,
8,1,8,25.928559875115752,29.5818901672028,31,125,34.203922732206806,
8,4,9,26.334001707844436,29.63592725014314,31,115,34.81891997691819,
8,7,9,24.970388958696276,29.1987317497842,31,147,34.75395133365185,
8,3,9,25.269540584180504,29.407207624986768,31,136,32.84465009328891,
8,2,9,26.586836082860827,30.55321191577241,31,125,31.502144805131806,
8,0,9,26.76722783409059,30.60159479221329,31,124,32.337068036506594,
8,5,9,26.53918870911002,30.925694291945547,31,145,33.00547452951449,
8,6,9,27.721046791411936,31.20305583300069,31,119,34.16159614037487,
8,1,9,27.55152624985203,30.642884666565806,31,107,34.60247243662202,
8,4,10,27.342736666090786,31.252737750299275,31,132,33.74966837307393,
8,7,10,27.023166915867478,30.924463041126728,31,134,34.34945816746853,
8,3,10,26.78058575000614,30.409772125072777,31,127,34.98274448582769,
8,2,10,26.43851120909676,30.056931542232633,31,127,35.08795559301494,
8,0,10,26.22389895794913,29.600866625085473,31,118,34.93087615357087,
8,5,10,25.20360574964434,28.85262329177931,31,127,34.793978772331634,
8,6,10,25.368102750275284,29.217139415908605,31,135,35.05446121986015,
8,1,10,26.12812695791945,30.02327562496066,31,136,34.905166591767966,
