phase,prompt_len,run_idx,ttft_s,e2e_s
cold,short,1,7.963873,8.025271
cold,short,2,1.052392,1.110070
cold,short,3,1.124795,1.182937
cold,short,4,1.036640,1.094736
cold,short,5,1.029483,1.088085
cold,short,6,1.010795,1.068930
cold,short,7,1.012494,1.068602
cold,short,8,1.022760,1.080688
cold,short,9,1.180214,1.237314
cold,short,10,1.023938,1.080732
cold,medium,1,1.129551,4.975266
cold,medium,2,1.131873,4.953206
cold,medium,3,1.144843,5.176972
cold,medium,4,1.183946,5.216321
cold,medium,5,1.118922,5.051228
cold,medium,6,1.116419,6.006349
cold,medium,7,1.114253,4.747789
cold,medium,8,1.111013,4.454955
cold,medium,9,1.096602,5.803699
cold,medium,10,1.159469,4.958466
warm,short,1,0.162552,0.220302
warm,short,2,0.090538,0.146946
warm,short,3,0.084880,0.144307
warm,short,4,0.085411,0.144953
warm,short,5,0.085995,0.144691
warm,short,6,0.085359,0.144598
warm,short,7,0.073511,0.131911
warm,short,8,0.083790,0.142938
warm,short,9,0.085170,0.144235
warm,short,10,0.088784,0.147804
warm,short,11,0.085875,0.144833
warm,short,12,0.069852,0.127877
warm,short,13,0.083308,0.142206
warm,short,14,0.085273,0.144505
warm,short,15,0.087575,0.146606
warm,short,16,0.082078,0.141037
warm,short,17,0.070983,0.129069
warm,short,18,0.081720,0.138910
warm,short,19,0.082471,0.141697
warm,short,20,0.083659,0.142898
warm,short,21,0.084621,0.143712
warm,short,22,0.086038,0.145060
warm,short,23,0.087425,0.177498
warm,short,24,0.064758,0.124186
warm,short,25,0.080293,0.139126
warm,short,26,0.079561,0.138467
warm,short,27,0.084769,0.144060
warm,short,28,0.086457,0.145695
warm,short,29,0.086425,0.146212
warm,short,30,0.087059,0.146968
warm,short,31,0.084541,0.144459
warm,short,32,0.086787,0.146411
warm,short,33,0.081148,0.139764
warm,short,34,0.078593,0.138405
warm,short,35,0.081855,0.141945
warm,short,36,0.085163,0.144352
warm,short,37,0.085747,0.147139
warm,short,38,0.071468,0.131035
warm,short,39,0.086335,0.148078
warm,short,40,0.085728,0.147684
warm,short,41,0.095333,0.158169
warm,short,42,0.079086,0.142905
warm,short,43,0.089605,0.154124
warm,short,44,0.088791,0.155046
warm,short,45,0.088872,0.156689
warm,short,46,0.086537,0.151487
warm,short,47,0.085610,0.154696
warm,short,48,0.093390,0.163345
warm,short,49,0.093762,0.203304
warm,short,50,0.095245,0.170333
warm,medium,1,0.265648,28.021116
warm,medium,2,0.218927,24.193402
warm,medium,3,0.223926,28.567667
warm,medium,4,0.214340,29.750093
warm,medium,5,0.247335,28.719955
warm,medium,6,0.217868,26.136198
warm,medium,7,0.226759,28.348255
warm,medium,8,0.223508,23.085696
warm,medium,9,0.090267,3.962540
warm,medium,10,0.090405,3.824674
warm,medium,11,0.086179,3.929506
warm,medium,12,0.086247,3.659712
warm,medium,13,0.085195,3.181834
warm,medium,14,0.084366,3.789853
warm,medium,15,0.087651,4.692354
warm,medium,16,0.089301,5.789139
warm,medium,17,0.086491,4.526757
warm,medium,18,0.090388,4.083586
warm,medium,19,0.083618,4.273077
warm,medium,20,0.067254,4.506334
warm,medium,21,0.085693,4.048922
warm,medium,22,0.088789,4.587211
warm,medium,23,0.087801,3.419805
warm,medium,24,0.088323,4.503605
warm,medium,25,0.086083,4.564106
warm,medium,26,0.087330,4.741030
warm,medium,27,0.084677,5.278701
warm,medium,28,0.085811,3.593065
warm,medium,29,0.085867,4.134701
warm,medium,30,0.086224,4.550652
warm,medium,31,0.084725,3.565954
warm,medium,32,0.085095,3.862008
warm,medium,33,0.087398,4.220791
warm,medium,34,0.084262,4.611156
warm,medium,35,0.086218,3.911370
warm,medium,36,0.084652,3.513922
warm,medium,37,0.080097,4.718809
warm,medium,38,0.081626,4.638243
warm,medium,39,0.082516,4.136500
warm,medium,40,0.066617,5.119382
warm,medium,41,0.086706,4.750141
warm,medium,42,0.093218,7.663615
warm,medium,43,0.088213,4.331111
warm,medium,44,0.082465,3.920864
warm,medium,45,0.084031,4.954956
warm,medium,46,0.083529,4.737374
warm,medium,47,0.083015,3.820022
warm,medium,48,0.083912,4.119445
warm,medium,49,0.081740,3.699027
warm,medium,50,0.082282,4.523342
